172.19.0.1 - - [17/Dec/2020:10:35:49 +0000] "GET /allusers.html HTTP/1.1" 200 663 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:35:49 +0000] "GET /api/fetchUsers.php HTTP/1.1" 200 237 "http://localhost/allusers.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:35:49 +0000] "GET /allusers.html HTTP/1.1" 200 662 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:35:50 +0000] "GET /api/fetchUsers.php HTTP/1.1" 200 237 "http://localhost/allusers.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:36:05 +0000] "GET /allusers.html HTTP/1.1" 200 663 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:36:05 +0000] "GET /api/fetchUsers.php HTTP/1.1" 200 237 "http://localhost/allusers.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:36:57 +0000] "-" 408 0 "-" "-"
172.19.0.1 - - [17/Dec/2020:10:39:49 +0000] "GET /allusers.html HTTP/1.1" 200 691 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:39:49 +0000] "GET /api/fetchUsers.php HTTP/1.1" 200 237 "http://localhost/allusers.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:40:31 +0000] "GET /allusers.html HTTP/1.1" 200 665 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:40:31 +0000] "GET /api/fetchUsers.php HTTP/1.1" 200 237 "http://localhost/allusers.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:41:23 +0000] "-" 408 0 "-" "-"
172.19.0.1 - - [17/Dec/2020:11:28:19 +0000] "GET /oppgave3.html HTTP/1.1" 200 608 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
